UniprotID	logFC	AveExpr	t	P.Value	adj.P.Val	B	PG.Genes	PG.ProteinDescriptions	contrast
Q9BTE6	0.498526879822364	14.2506303677578	3.26901718101462	0.00538652906873659	0.0216403805336492	-2.90207744510262	AARSD1	Alanyl-tRNA editing protein Aarsd1	K57A_vs_Beads_str
Q9H7N4	-0.835901613175778	13.1822228133883	-3.26824395241998	0.00539494469408811	0.0216471313942562	-2.90361581270688	SCAF1	Splicing factor, arginine/serine-rich 19	K57A_vs_Beads_str
Q8TEB1	1.43144503497465	12.5434921804883	3.2639357754573	0.00544207408611894	0.0218090101156936	-2.91218614521529	DCAF11	DDB1- and CUL4-associated factor 11	K57A_vs_Beads_str
Q13620	-0.513978090936622	15.1121717557795	-3.26275910573855	0.00545501741641807	0.0218336562594865	-2.91452663391974	CUL4B	Cullin-4B	K57A_vs_Beads_str
Q9H814	0.82001533392452	15.9650468729643	3.25871484157785	0.00549973835676256	0.0219852724858643	-2.92257006690998	PHAX	Phosphorylated adapter RNA export protein	K57A_vs_Beads_str
Q99733	0.702909031483042	16.654162659737	3.2538116845371	0.00555444657533652	0.0221763866995423	-2.93231976748759	NAP1L4	Nucleosome assembly protein 1-like 4	K57A_vs_Beads_str
P61758	2.75293692226078	13.6307524214294	3.26218077470051	0.005562196398746	0.0221797757141063	-2.92726992430704	VBP1	Prefoldin subunit 3	K57A_vs_Beads_str
Q96C19	-1.39866074210039	15.1120650284787	-3.26087161214616	0.00557681375258149	0.022210507312016	-2.92985837259513	EFHD2	EF-hand domain-containing protein D2	K57A_vs_Beads_str
Q08170	-0.85698849418023	14.2250757823321	-3.24876977177627	0.00561126790897641	0.0223200681428839	-2.94234313422923	SRSF4	Serine/arginine-rich splicing factor 4	K57A_vs_Beads_str
Q96DB5	-2.40361194502138	13.7682257262512	-3.25715343914349	0.0056185378592432	0.0223213605433963	-2.93720909173645	RMDN1	Regulator of microtubule dynamics protein 1	K57A_vs_Beads_str
O75817	0.789200086532775	14.4385282837926	3.24678535831368	0.00563379016177638	0.022354322938209	-2.94628753598963	POP7	Ribonuclease P protein subunit p20	K57A_vs_Beads_str
Q8N983	-0.461253542806233	16.3086535487521	-3.24447295073113	0.00566014851652703	0.0224029116500079	-2.95088343696163	MRPL43	39S ribosomal protein L43, mitochondrial	K57A_vs_Beads_str
Q92878	-0.402951702928423	14.4891952238915	-3.24427629018045	0.0056623958373688	0.0224029116500079	-2.95127427651183	RAD50	DNA repair protein RAD50	K57A_vs_Beads_str
