accession	AMP_vs_Beads_str	AMP_vs_Beads_unst	AMP_vs_K57A_str	AMP_vs_K57A_unst	K57A_vs_Beads_str	K57A_vs_Beads_unst
O75122	1	1	1	0	1	1
O75127	0	0	0	1	0	0
O75131	0	0	1	0	0	1
O75143	1	0	1	1	1	0
O75147	0	0	0	1	0	0
O75150	1	1	0	1	1	1
O75165	0	0	0	0	0	0
O75179	0	0	0	0	0	0
O75208	0	1	0	0	1	1
O75223	1	1	0	1	1	1
O75306	1	1	1	1	0	1
O75312	0	0	0	1	1	0
O75347	0	1	1	1	0	0
O75348	1	0	1	1	0	0
O75351	1	1	1	1	0	0
O75352	1	1	1	1	0	1
O75390	0	0	1	1	0	0
O75400	0	0	1	0	0	1
O75410	0	0	0	0	0	0
O75419	1	1	1	1	0	1
O75436	0	1	0	1	0	1
O75438	1	0	1	0	1	0
O75446	0	1	1	1	0	0
O75449;Q9BW62	0	0	0	0	0	1
O75475	0	0	0	0	0	0
O75494	0	1	0	1	1	1
O75496	1	1	0	0	1	1
O75503	0	0	0	0	1	0
O75506	0	1	0	1	0	1
O75521	0	1	0	0	1	1
O75531	0	1	0	1	0	0
O75534	1	1	1	1	0	0
O75569	0	0	0	0	0	0
O75592	1	0	0	1	1	0
O75607	0	0	1	0	0	0
O75608	0	0	1	0	0	0
O75616	1	0	1	0	1	0
O75648	1	1	1	1	1	0
O75683	0	0	0	0	0	0
O75688	0	1	1	1	0	0
O75694	0	1	1	1	0	1
O75718	1	1	1	1	0	1
O75792	0	0	0	0	0	1
O75794	0	0	0	0	0	1
O75817	0	0	0	0	0	0
O75818	0	0	0	0	0	0
O75879	0	0	0	0	1	0
O75909	0	0	1	0	0	0
O75937	1	1	0	0	1	1
O75940	0	0	1	0	0	0
O75964	0	1	0	1	0	1
O76003	1	1	1	1	0	0
O76021	0	0	0	0	0	0
O76071	1	1	1	1	0	1
O76080	0	0	0	0	1	1
O76094	0	0	1	1	0	0
O94763	1	1	1	1	1	0
O94776	1	1	1	0	1	1
O94832	1	1	1	1	1	0
O94842	0	0	0	0	0	0
O94874	1	1	1	1	0	1
O94887	1	0	1	0	1	0
O94903	0	0	1	1	0	0
O94905	1	0	1	1	1	0
O94925	0	1	0	0	1	1
O94952	1	1	1	1	0	0
O94973	1	0	1	0	1	0
O94979	1	1	1	1	0	1
O94992	1	0	0	0	1	1
O95059	0	0	0	0	0	0
O95104	1	0	1	0	0	0
O95166	1	1	1	1	1	0
O95182	1	1	1	0	1	1
O95197	1	1	0	0	1	1
O95202	1	1	1	0	1	1
O95218	0	1	1	0	0	1
O95232	0	0	0	0	0	0
O95248	1	1	0	1	1	1
O95292	0	0	0	0	0	0
O95295	1	1	1	1	1	0
O95299	0	1	0	0	0	1
O95302	1	1	1	1	0	1
O95336	0	0	0	0	1	0
O95347	1	1	1	1	0	1
O95400	0	1	1	1	0	0
O95425	1	1	1	0	1	1
O95433	1	1	1	0	1	1
O95456	1	1	1	1	0	1
O95478	1	1	1	1	0	1
O95486	0	0	0	0	1	0
O95573	1	1	1	1	0	1
O95602	1	0	1	0	1	1
O95619	1	1	1	0	1	1
O95707	0	0	0	0	0	0
O95747	0	1	0	1	0	1
O95751	0	1	0	0	0	1
O95777	1	0	1	0	0	1
O95782	1	0	0	0	1	1
O95793	0	0	0	0	0	0
O95801	0	0	1	0	0	0
O95817	1	1	1	0	1	1
O95819	0	0	0	0	0	0
O95831	1	1	1	1	0	1
O95861	0	0	1	1	0	0
O95881	0	1	1	1	0	1
O96005	0	0	0	0	0	1
O96013	1	0	1	0	1	0
P0C0S5;Q71UI9	0	0	0	1	0	0
P0C0S8;P20671;Q96KK5;Q99878;Q9BTM1	0	0	0	0	0	0
P0C2W1	1	0	1	1	0	0
P0DJ07	1	0	1	1	0	0
P0DPA2	1	0	0	0	1	1
P0DPB6	1	1	1	0	1	1
P00167	1	0	1	0	1	1
P00338	1	1	1	1	0	1
P00367	1	1	1	1	0	1
P00441	0	0	0	0	0	0
P00491	0	0	1	0	0	1
P00492	0	0	0	1	0	0
