accession	AMP_vs_Beads_str	AMP_vs_Beads_unst	AMP_vs_K57A_str	AMP_vs_K57A_unst	K57A_vs_Beads_str	K57A_vs_Beads_unst
P56556	1	1	1	1	0	0
P56705	0	0	0	0	0	0
P57081	0	0	0	0	1	0
P57088	0	1	1	1	0	1
P57678	1	1	1	0	0	1
P57682;Q9Y4X4	1	0	1	0	0	0
P57721	0	0	1	0	0	1
P57740	1	1	1	1	0	1
P57772	1	0	0	0	1	0
P58546	0	0	1	1	0	0
P59665;P59666	1	1	1	0	1	1
P59998	1	1	1	1	1	0
P60002	0	0	0	0	0	0
P60059	0	0	0	0	0	0
P60174	0	1	1	1	0	1
P60604	0	0	0	0	1	0
P60842	1	0	1	1	0	0
P60866	0	0	0	0	1	0
P60891	1	1	1	1	0	1
P60953	0	0	1	1	0	0
P60981	1	0	1	0	1	0
P61011	0	0	0	0	0	0
P61019	1	1	1	1	0	1
P61024	0	0	0	0	1	1
P61026	1	1	1	1	0	0
P61077;P62837	0	0	1	0	0	0
P61081	1	1	0	1	1	1
P61086	1	1	0	1	1	1
P61088	0	0	1	1	0	0
P61106	0	1	1	1	0	1
P61165	0	1	0	0	1	1
P61204;P84077	1	1	1	1	0	0
P61218	1	1	1	0	0	1
P61225	1	0	0	0	1	1
P61244	1	1	0	0	1	1
P61247	0	0	0	0	0	0
P61254	1	0	1	0	0	0
P61289	1	1	1	1	0	0
P61313	0	0	0	0	0	0
P61353	0	0	0	1	0	0
P61371	0	1	0	0	0	1
P61513	0	0	0	1	0	0
P61586	1	1	1	1	0	1
P61604	0	1	1	1	0	1
P61626	1	1	0	0	1	1
P61758	0	0	1	1	0	0
P61764	1	0	0	0	1	1
P61769	1	1	0	0	1	1
P61923	1	1	1	1	0	1
P61927	0	0	0	0	0	0
P61956	1	1	1	0	0	1
P61962	0	1	1	1	0	1
P61964	1	1	0	0	1	1
P61970	0	0	1	0	0	0
P61978	1	1	1	1	0	1
P62068	1	1	1	1	0	1
P62070	0	0	0	1	1	0
P62072	0	1	1	1	0	1
P62081	0	0	0	0	0	0
P62140	1	1	1	1	1	0
P62241	0	0	0	1	0	0
P62244	0	0	0	0	0	0
P62249	0	0	0	1	0	0
P62258	1	1	1	1	0	1
P62263	0	0	0	0	0	0
P62266	0	0	0	1	0	0
P62269	0	0	0	0	0	0
P62273	0	0	0	0	1	0
P62277	0	0	0	0	0	0
P62280	0	0	0	0	0	0
P62304	0	0	0	0	0	0
P62306	1	0	1	0	0	0
P62310	1	1	1	0	1	1
P62312	1	1	0	0	1	1
P62314	0	0	0	0	1	1
P62316	0	0	0	0	1	1
P62318	0	0	0	0	0	0
P62328	0	0	1	1	0	0
P62424	0	0	0	1	0	0
P62487	1	1	1	1	0	1
P62495	1	0	1	0	1	0
P62633	0	1	1	1	0	1
P62699	0	0	1	0	0	0
P62701	0	0	0	0	1	0
P62714	0	0	1	1	0	0
P62745	0	0	0	0	0	1
P62750	0	1	1	1	0	0
P62753	0	0	0	1	0	0
P62805	1	0	1	1	1	0
P62826	0	0	0	0	0	0
P62829	0	0	0	1	0	0
P62841	0	0	0	1	0	0
P62847	0	0	0	0	0	0
P62851	1	0	0	0	1	0
P62854;Q5JNZ5	0	0	0	1	0	0
P62857	1	0	0	0	1	0
P62861	0	0	0	0	0	0
P62873	1	1	1	1	0	0
P62875	1	1	0	1	1	1
P62879	1	1	1	1	0	1
P62888	0	0	0	0	0	0
P62891;Q59GN2	0	0	0	0	0	0
P62899	0	0	0	0	0	0
P62906	0	0	0	0	0	0
P62910	0	0	0	1	0	0
P62913	0	0	0	0	0	0
P62917	0	0	0	1	0	0
P62937	0	1	1	1	0	1
P62942	1	0	0	1	1	0
P62979	1	0	0	0	1	0
P62993	0	0	1	1	0	0
P62995	0	1	0	0	1	1
P63000	0	1	1	1	0	0
P63010	1	0	1	0	1	0
P63092;Q5JWF2	1	1	0	0	1	1
P63096	1	0	1	0	1	1
P63098	0	0	1	1	0	0
P63151	0	1	1	1	0	1
P63165	0	1	1	1	0	1
P63173	1	0	1	1	0	0
P63208	0	1	1	1	0	0
P63220	1	1	1	1	0	1
P63241	0	1	1	1	0	0
P63244	1	0	1	0	0	1
P63272	1	0	1	1	1	0
P63279	0	0	1	0	0	0
P63313	0	0	0	0	0	0
P67775	1	1	1	1	0	1
P67809	0	0	0	0	0	1
P67870	1	1	1	1	0	1
P68036	1	1	1	1	0	0
P68371	1	1	1	1	0	1
P68400	1	1	1	1	0	1
P68402	0	1	1	1	0	0
P68871	0	0	0	0	1	0
P78316	0	0	0	1	0	0
P78318	1	1	1	1	0	1
P78344	1	0	1	0	1	1
P78345	0	0	0	0	0	0
P78346	0	0	0	0	0	0
P78362	0	0	0	0	0	0
P78368	0	0	1	0	0	0
P78371	1	1	1	1	0	1
P78406	0	0	0	1	0	0
P78417	0	1	1	1	0	1
P78527	0	1	0	1	0	0
P80188	0	1	0	1	0	0
P80723	0	0	0	0	0	0
P82094	0	0	0	0	0	0
P82650	0	0	0	0	0	0
P82663	0	0	1	0	0	0
P82664	0	0	0	0	0	0
P82673	0	0	1	0	0	0
P82675	0	0	0	0	0	0
P82912	0	0	0	0	0	0
P82914	0	0	0	1	0	0
P82921	1	0	1	0	1	0
P82930	0	0	0	0	0	0
P82932	0	0	0	0	0	0
P82933	0	0	1	0	0	0
P82979	0	0	0	1	1	0
P83731	0	0	0	1	0	0
P83881	0	0	1	1	0	0
P84022	1	0	1	1	0	0
P84090	0	0	0	0	0	0
P84098	0	0	1	1	0	0
P84103	0	0	1	1	0	0
P84243	0	0	0	0	0	0
P85037	1	1	1	1	1	0
P98170	0	0	1	1	0	0
P98175	0	1	1	1	0	0
P98179	0	0	0	0	0	0
P99999	0	0	0	1	0	0
Q0JRZ9	0	0	0	0	0	0
Q0VDF9	0	0	0	0	0	0
Q0VGL1	1	1	1	1	0	0
Q1ED39	0	0	1	0	0	0
Q1KMD3	0	0	0	0	0	0
Q2NL82	0	0	0	0	0	0
Q2T9J0	0	0	1	1	0	0
Q2TAY7	0	0	0	1	0	0
Q2VPK5	1	1	1	0	0	1
Q3B726	0	0	0	0	0	0
Q3KQU3	1	0	1	1	0	0
Q3MHD2	1	1	0	1	1	1
Q3MIT2	0	0	0	1	0	0
Q3SXM5	0	1	0	1	1	1
Q3YEC7	1	1	0	0	1	1
Q4G0J3	0	0	0	0	0	0
Q4G148	1	1	1	1	0	1
Q4J6C6	1	0	1	0	0	0
Q4KMP7	0	0	0	0	0	0
Q4U2R6	1	0	0	1	1	0
Q4VC05;Q8WUZ0;Q9BQE9	0	0	0	0	0	0
Q4VC31	0	1	1	1	0	1
Q5BKY9;Q8N9E0	0	0	0	0	0	0
Q5BKZ1	1	1	1	0	1	1
Q5C9Z4	0	0	0	0	0	0
Q5EBL4	0	0	0	0	1	0
Q5EBL8	1	1	0	1	1	1
Q5F1R6	1	1	0	1	1	1
Q5H9R7	1	1	1	1	0	1
Q5HYJ3;Q8TAV0	0	1	1	1	0	1
Q5JS54	0	0	0	0	1	1
Q5JSZ5	1	1	1	1	1	0
Q5JTH9	0	0	0	1	0	0
Q5JTZ9	1	1	1	1	0	1
Q5JVF3	0	0	0	1	0	0
Q5JVS0	1	0	1	1	0	0
Q5M9N0	0	1	0	0	0	1
Q5PRF9	0	0	0	0	1	0
Q5R372	1	1	1	1	0	1
Q5RKV6	0	0	0	0	0	0
Q5SSJ5	0	0	1	0	0	0
Q5SW79	0	1	1	1	0	1
Q5SXM8	1	1	1	0	1	1
Q5SYE7	0	1	0	0	1	1
Q5T5Y3	0	0	1	0	0	0
Q5T8P6	1	0	1	1	0	0
Q5T653	0	0	0	0	0	0
Q5TBB1	0	0	0	0	0	0
Q5TC12	0	0	1	1	0	0
Q5U5X0	0	0	0	0	0	0
Q5UIP0	0	0	0	0	0	1
Q5VSL9	0	1	0	0	1	1
Q5VTB9	1	1	1	0	1	1
Q5VTE6	0	0	0	0	0	0
Q5VTL8	0	0	0	0	0	0
Q5VTR2	1	1	0	0	1	1
Q5VUA4	0	0	0	0	0	0
Q5VUJ6	1	0	1	1	1	0
Q5VWQ0	0	0	0	0	0	0
Q5W111	0	1	1	0	0	1
Q5XKP0	1	1	0	0	1	1
Q6AI12	1	1	1	0	1	1
Q6DD87	0	0	1	0	0	0
Q6DD88	0	1	0	0	1	1
Q6DKI1	0	0	1	1	0	0
Q6DKJ4	0	0	0	0	0	0
Q6FI81	1	1	1	1	0	0
Q6GMV3	1	1	1	0	1	1
Q6IAA8	1	1	1	1	0	1
Q6IBS0	1	1	1	1	1	0
Q6IN84	0	1	0	0	0	1
Q6IN85	1	1	1	0	1	1
Q6IPR3	0	0	0	0	1	1
Q6L8Q7	1	0	1	0	1	0
Q6NSI4	0	0	1	0	0	0
Q6NUJ1	0	0	0	0	0	0
Q6NW29	0	0	0	0	1	1
Q6NVY1	0	1	0	0	1	1
Q6NWY9	0	0	0	0	1	0
Q6NXE6	1	1	1	0	1	1
Q6NYC1	1	1	0	1	1	1
Q6NZY4	0	0	0	0	0	0
Q6P1J9	0	0	0	0	1	1
Q6P1L8	1	0	1	1	1	0
Q6P1R4	0	0	0	0	0	1
Q6P2E9	0	0	0	1	0	0
Q6P6C2	0	0	1	1	0	0
Q6P158	0	0	1	0	0	0
Q6P161	0	0	0	0	1	0
Q6PCB5	0	0	0	0	0	0
Q6PD62	1	1	0	0	1	1
Q6PGP7	0	0	0	0	1	0
Q6PI48	1	0	1	0	0	1
Q6PID8	1	1	0	1	1	1
Q6PJT7	1	1	1	0	1	1
Q6PJW8	1	0	1	0	1	0
Q6PKG0	0	0	1	0	0	0
Q6QNY0	1	0	0	0	1	1
Q6UB35	0	1	1	1	0	1
Q6UN15	0	1	0	1	0	1
Q6UWP7	1	1	0	0	1	1
Q6UWP8	0	1	0	0	1	1
Q6UXN9	0	1	1	0	0	1
Q6W2J9	0	0	0	0	0	1
Q6WCQ1	0	1	0	1	0	0
Q6Y7W6	1	1	1	1	0	1
Q6YHK3	1	0	1	0	1	1
Q6YN16	0	0	1	0	0	0
Q6ZN17	0	0	1	0	0	0
Q6ZRP7	0	0	0	0	1	1
Q6ZTN6;Q8IZ07	0	0	0	0	1	1
Q6ZU35	0	0	0	0	1	0
Q6ZVM7	1	0	1	0	1	1
Q6ZVX7	1	1	0	0	1	1
Q6ZXV5	0	0	0	0	1	0
Q7KZ85	1	1	1	1	0	1
Q7KZF4	0	0	0	0	0	0
Q7L0Y3	0	0	0	0	0	0
Q7L1Q6	1	1	1	0	0	1
Q7L2E3	0	0	0	0	0	0
Q7L2J0	0	0	0	0	0	0
Q7L3S4	0	0	1	1	0	0
Q7L5N1	1	1	0	1	1	1
Q7L5Y9	1	1	0	1	1	1
Q7L7X3	0	0	0	0	1	1
Q7L8L6	0	0	0	0	0	0
Q7L014	0	0	1	1	0	0
Q7L099	0	0	0	0	0	1
Q7L523	1	1	1	1	0	0
Q7L576	1	1	1	0	1	1
Q7LG56	1	1	0	1	1	1
Q7LGA3	1	0	0	0	1	0
Q7RTP6	1	1	1	0	1	1
Q7RTV0	1	1	0	1	1	1
Q7Z2E3	0	0	0	0	0	0
Q7Z2T5	0	0	0	0	0	0
Q7Z2W4	0	0	0	0	0	0
Q7Z2W9	0	0	0	0	0	0
Q7Z3B4	0	0	0	0	0	1
Q7Z3T8	1	0	1	0	1	0
Q7Z4H3	0	0	1	0	0	0
Q7Z4Q2	0	0	0	1	0	0
Q7Z4S6	0	0	0	0	1	0
Q7Z4V5	1	1	1	0	0	1
Q7Z5K2	1	0	1	0	0	0
Q7Z6E9	1	0	1	0	1	1
Q7Z6J9	0	0	0	1	0	0
Q7Z6M2	1	1	1	0	1	1
Q7Z6V5	0	0	1	0	0	1
Q7Z7E8	0	0	0	0	0	0
Q7Z7F7	0	0	0	1	1	0
Q7Z7H5	1	1	1	0	1	1
Q7Z7H8	1	1	0	0	1	1
Q7Z7L1	1	1	1	0	0	1
Q7Z7M8	1	1	0	0	1	1
Q7Z309	0	0	0	1	0	0
Q7Z417	1	1	1	0	1	1
Q7Z460	0	0	0	0	0	1
Q7Z478	0	0	0	0	1	0
Q08AD1	0	0	1	0	0	0
Q08AG7	1	0	0	0	1	1
Q8IUD2	1	1	1	0	1	1
Q8IUF8	0	0	0	0	0	0
Q8IUH3	0	1	0	1	0	0
Q8IUR6	1	1	0	1	1	1
Q8IVF2	0	0	0	1	0	0
Q8IVS2	0	0	0	0	0	0
Q8IWB1	0	1	0	1	0	1
Q8IWB7	0	0	1	0	0	1
Q8IWF6	0	0	0	0	0	1
Q8IWP9	0	0	1	1	0	0
Q8IWS0	0	0	1	0	0	0
Q8IWV8	1	1	1	1	0	0
Q8IWZ3	1	1	0	1	1	1
Q8IX12	0	1	0	0	1	1
Q8IX18	1	0	0	0	1	1
Q8IXB1	0	0	1	0	0	1
Q8IXH7	1	1	1	0	1	1
Q8IXM2	0	0	0	0	0	0
Q8IXM3	0	0	0	0	0	0
Q8IY18	1	1	1	0	0	1
Q8IY81	1	0	1	1	0	0
Q8IYB3	0	0	1	0	0	0
Q8IYB5	0	0	0	0	0	0
Q8IYB8	0	0	0	0	0	0
Q8IYB9	0	0	0	0	0	1
Q8IYD1	0	0	0	0	0	0
Q8IYL3	1	1	0	1	1	0
Q8IYS1	1	1	1	1	0	0
Q8IZ69	0	0	0	0	0	0
Q8IZ73	0	0	0	1	0	0
Q8IZ83	1	1	0	1	1	1
Q8IZL8	0	0	1	1	0	0
Q8IZP0	1	0	0	0	1	1
Q08J23	0	0	0	0	0	0
Q8N0T1	1	0	1	0	1	0
Q8N0V3	0	1	0	0	0	1
Q8N0Y2	1	0	1	1	0	0
Q8N1G2	0	0	0	1	0	0
Q8N1G4	0	0	0	0	0	0
Q8N3C0	0	0	1	1	0	0
Q8N3R9	0	1	0	0	1	1
Q8N3X1	0	0	0	0	1	1
Q8N3Z3	0	1	0	1	0	1
Q8N4H5	0	1	0	1	0	1
Q8N4J0	0	0	0	0	0	0
Q8N4V1	0	0	0	0	0	0
Q8N5C6	0	0	0	0	0	0
Q8N5F7	0	0	1	1	0	0
Q8N5I2	1	0	1	0	0	1
Q8N5K1	1	1	0	1	1	0
Q8N5L8	0	0	0	0	0	0
Q8N5M1	1	1	0	1	1	1
Q8N5N7	1	1	0	1	1	1
Q8N5P1	0	0	1	0	0	0
Q8N5W9	1	0	0	0	1	1
Q8N5Z5	0	0	0	1	0	0
Q8N6M0	0	0	1	0	0	1
Q8N6R0	0	0	0	1	0	0
Q8N6T3	1	1	1	1	0	0
Q8N7H5	1	0	0	0	1	1
Q8N8A6	0	1	0	0	0	1
Q8N9N2	0	0	0	0	0	0
Q8N9N8	1	0	0	0	1	1
Q8N9T8	0	0	1	1	0	0
Q8N543	1	0	1	0	0	1
Q8N556	0	0	0	0	1	0
Q8N568	0	0	0	0	1	1
Q8N684	0	0	0	0	0	0
Q8N766	1	1	1	0	1	1
Q8N983	0	0	0	0	1	0
Q8N999	0	0	0	0	0	0
Q8NAF0	0	0	0	1	1	0
Q8NAV1	1	0	1	1	1	0
Q8NB37	1	1	1	1	0	0
Q8NB46	1	1	1	1	0	1
Q8NBF2	0	0	0	0	1	1
Q8NBI6	1	1	0	0	1	1
Q8NBJ7	0	0	1	1	0	0
Q8NBS9	0	1	1	1	0	1
Q8NC51	1	0	1	0	0	0
Q8NC60	0	0	1	0	0	0
Q8NC69	1	1	1	1	0	1
Q8NCA5	0	0	0	0	0	0
Q8NCJ5	0	1	0	0	0	1
Q8NCW5	1	0	0	0	1	1
Q8ND56	1	1	1	1	0	0
Q8NDC0	1	1	0	0	1	1
Q8NE71	0	0	0	0	0	0
Q8NEC7	1	0	0	0	1	0
Q8NEF9	1	1	1	0	0	1
Q8NEZ5	1	1	0	1	1	1
Q8NF37	0	1	1	1	0	1
Q8NFH3	0	1	0	0	0	1
Q8NFQ8	0	0	0	0	1	1
Q8NFW8	0	0	0	0	0	0
Q8NG08	0	0	0	0	0	0
Q8NHG8	1	1	0	0	1	1
Q8NHM4	1	1	0	1	1	1
Q8NHQ9	0	0	1	0	0	0
Q8NI36	0	0	0	0	1	0
Q8NI60	0	0	0	0	0	0
Q8TA86	0	0	1	0	0	1
Q8TAE8	1	0	0	0	1	1
Q8TAF3	1	1	1	1	0	1
Q8TAP8	0	0	0	0	0	0
Q8TAQ2	1	0	1	0	0	0
Q8TAT6	0	0	0	0	0	0
Q8TB37	1	1	1	1	0	1
Q8TB52	1	1	0	1	1	1
Q8TB72	1	1	1	1	1	0
Q8TBX8	1	1	0	0	1	1
Q8TBZ6	0	0	0	0	1	1
Q8TC12	0	1	0	0	1	1
Q8TCC3	0	0	0	0	1	0
Q8TCJ2	0	1	0	0	1	1
Q8TCX1	0	1	1	1	0	1
Q8TCY9	1	0	0	0	1	0
Q8TD19	1	1	1	1	0	1
Q8TDD1	0	0	0	0	0	0
Q8TDN6	0	0	0	1	0	0
Q8TDP1	1	0	0	0	1	0
Q8TDR0	0	0	1	1	0	0
Q8TE56	0	0	0	0	0	0
Q8TEA1	1	1	0	1	1	0
Q8TEB1	0	1	0	0	0	1
Q8TED0	0	0	0	0	0	0
Q8TEQ6	0	0	0	0	0	0
Q8TEX9	0	1	0	1	0	1
Q8TF01	0	0	0	0	0	0
Q8WU90	0	0	1	0	0	0
Q8WUA2	0	0	1	0	0	1
Q8WUA4	0	0	0	0	0	0
Q8WUB8	0	0	0	0	0	0
Q8WUD4	0	0	0	0	0	0
Q8WUM0	1	1	1	1	0	1
Q8WUM4	1	1	1	0	1	1
Q8WUQ7	0	0	0	0	0	0
Q8WVC0	1	1	0	0	1	1
Q8WVJ2	0	0	0	0	0	1
Q8WVK2	0	0	0	0	0	0
Q8WVM0	0	0	1	0	0	0
Q8WVT3	1	1	0	1	1	1
Q8WVV4	1	0	1	0	0	1
Q8WVV9	0	0	0	0	0	0
Q8WVX9	0	1	0	1	0	1
Q8WVY7	1	1	1	1	0	0
Q8WW12	0	1	0	0	1	1
Q8WW59	0	0	0	0	1	1
Q8WWC4	1	1	1	1	0	1
Q8WWH5	0	0	0	0	0	0
Q8WWK9	0	0	0	0	0	0
Q8WWY3	0	0	0	0	0	0
Q8WX92	1	0	1	1	0	0
Q8WXA9	1	1	1	0	0	1
Q8WXF1	1	0	1	1	1	0
Q8WXH0	0	1	0	1	0	1
Q8WXI9	1	1	1	0	1	1
Q8WXX5	0	0	0	1	0	0
Q8WY54	0	1	0	0	1	1
Q8WYA6	1	0	1	0	0	0
Q8WYQ5	0	0	1	0	0	0
Q9BPW8	1	0	1	1	1	0
Q9BPX3	1	1	1	1	0	0
Q9BPX5	1	1	1	1	1	0
Q9BQ15	1	1	1	0	0	1
Q9BQ39	0	0	0	0	0	0
Q9BQ50	1	0	0	0	1	0
Q9BQ52	0	0	0	0	0	0
Q9BQ67	0	0	0	0	0	0
Q9BQ70	1	1	1	1	0	0
Q9BQ75	0	0	0	0	0	0
Q9BQ90	1	1	0	1	1	1
Q9BQA1	1	1	1	1	0	1
Q9BQC3	1	1	1	1	0	0
Q9BQC6	1	0	0	0	1	0
Q9BQE3	1	1	1	1	0	0
Q9BQG0	0	0	0	0	0	0
Q9BQI0	1	0	1	0	1	0
Q9BQS8	0	0	0	0	1	0
Q9BR76	1	0	1	0	1	0
Q9BRA0	0	0	0	0	0	0
Q9BRA2	0	0	0	0	0	1
Q9BRG1	0	1	0	1	1	1
Q9BRJ2	0	0	0	0	1	0
Q9BRJ6	0	0	0	0	0	0
Q9BRP1	0	1	0	0	0	1
Q9BRP8	0	0	0	0	0	0
Q9BRR6	1	0	1	0	1	0
Q9BRS2	0	0	1	0	0	0
Q9BRT2	1	1	1	1	1	0
Q9BRT6	0	0	0	0	0	0
Q9BRU9	1	1	0	0	1	1
Q9BS18	0	1	0	1	0	1
Q9BS26	0	0	0	0	1	1
Q9BSB4	1	1	0	0	1	1
Q9BSD7	1	0	1	0	0	0
Q9BSG0	0	0	0	0	0	0
Q9BSJ2	1	1	1	1	0	0
Q9BSV6	0	0	0	0	0	0
Q9BT22	1	1	0	0	1	1
Q9BTC0	1	0	1	1	0	0
Q9BTC8	0	0	0	0	0	0
Q9BTD8	0	0	0	1	0	0
Q9BTE3	1	1	1	1	0	1
Q9BTE6	0	0	0	0	0	0
Q9BTE7	0	1	1	1	0	0
Q9BTL3	1	1	0	0	1	1
Q9BTT0	1	1	1	1	0	1
Q9BTT6	0	0	0	0	0	0
Q9BTV4	0	0	0	0	1	0
Q9BU23	0	1	0	0	0	1
Q9BU61	0	1	0	1	1	1
Q9BU76	0	0	0	0	0	0
Q9BU89	1	1	1	1	0	1
Q9BUA3	1	1	1	0	1	1
Q9BUB4	1	0	1	1	0	0
Q9BUH6	1	1	0	1	1	1
Q9BUI4	0	0	1	1	0	0
Q9BUJ2	0	0	0	1	0	0
Q9BUK0	1	1	1	0	1	1
Q9BUL8	0	1	1	1	0	0
Q9BUL9	0	1	0	1	0	1
Q9BUN8	1	0	1	0	0	0
Q9BUP0	1	0	1	0	1	1
Q9BUQ8	0	0	1	1	0	0
Q9BUR5	1	0	0	0	1	1
Q9BV20	1	0	1	0	0	1
Q9BV38	0	0	1	1	0	0
Q9BV44	0	0	1	1	0	0
Q9BV57	1	0	1	1	1	0
Q9BV68	1	1	1	1	0	1
Q9BV86	0	0	0	1	0	0
Q9BVC5	0	0	0	0	0	0
Q9BVI4	0	0	0	0	0	0
Q9BVJ6	0	0	1	0	0	0
Q9BVM2	1	0	1	1	0	0
Q9BVP2	0	0	0	0	0	0
Q9BVS4	0	1	1	1	0	1
Q9BVS5	0	0	1	0	0	0
Q9BW27	0	0	1	1	0	0
Q9BW83	0	0	0	0	0	0
Q9BW92	1	1	1	1	0	1
Q9BWD1	1	1	1	1	0	0
Q9BWD3	0	0	0	1	1	0
Q9BWF3	0	0	1	1	0	0
Q9BWG4	0	1	0	1	0	1
Q9BWU0	0	0	0	0	1	1
Q9BWW4	0	0	0	0	0	0
Q9BX40	0	0	0	0	0	0
Q9BXB4	1	0	1	0	0	0
Q9BXJ9	0	0	0	0	0	0
Q9BXK1	1	0	0	0	1	0
Q9BXP5	0	0	0	1	0	0
Q9BXR0	0	0	1	1	0	0
Q9BXW7	0	0	0	0	1	1
Q9BY32	1	1	1	0	1	1
Q9BY44	0	0	0	0	0	0
Q9BYB4	0	0	0	0	1	1
Q9BYC8	0	0	0	0	0	0
Q9BYC9	0	0	0	0	1	0
Q9BYD1	0	0	0	0	1	0
Q9BYD2	0	0	0	0	0	0
Q9BYD3	1	0	0	0	1	1
Q9BYD6	0	0	0	0	0	0
Q9BYG3	0	1	0	0	1	1
Q9BYG5	1	0	1	0	1	1
Q9BYJ9	0	0	0	0	1	0
Q9BYN8	0	0	0	0	0	0
Q9BZD4	0	1	0	0	1	1
Q9BZE2	0	0	0	0	0	1
Q9BZG8	0	0	0	0	1	1
Q9BZH6	1	1	0	1	1	1
Q9BZI7	0	0	1	0	0	0
Q9BZL1	0	0	0	0	0	0
Q9BZQ6	1	1	0	1	1	1
Q9BZX2	0	1	1	1	0	0
Q9BZZ5	1	0	1	1	0	0
Q9C0B0	0	0	0	0	0	0
Q9C0B1	0	0	1	0	0	1
Q9C0C2	1	0	1	0	1	1
Q9C0C9	1	1	1	1	0	1
Q9C0D3	1	1	1	0	0	1
Q9C0J8	0	0	1	0	0	0
Q9C005	0	1	0	0	1	1
Q9C035	0	0	0	1	0	0
Q9GZL7	0	0	1	1	0	0
Q9GZM8;Q9NXR1	1	1	0	1	1	1
Q9GZN1	1	1	1	1	0	1
Q9GZR7	0	0	0	0	0	0
Q9GZS1	0	0	0	0	0	1
Q9GZS3	1	1	0	1	1	1
Q9GZT8	0	0	0	0	1	0
Q9GZT9	0	0	0	0	0	0
Q9GZZ1	1	1	0	0	1	1
Q9H000	0	1	0	1	0	0
Q9H0A0	0	0	0	0	0	0
Q9H0C8	0	0	0	1	0	0
Q9H0D6	0	0	0	0	1	0
Q9H0E2	1	0	0	0	1	0
Q9H0E3	1	0	1	0	0	0
Q9H0F6	0	0	0	0	1	0
Q9H0G5	1	1	1	1	1	0
Q9H0K6	0	1	1	1	0	0
Q9H0L4	0	0	0	0	0	0
Q9H0P0	1	0	1	0	1	0
Q9H0R6	0	1	0	1	1	1
Q9H0S4	0	0	0	0	0	0
Q9H0U4	0	1	0	0	1	1
Q9H0U6	0	0	0	0	1	0
Q9H1A4	1	1	1	1	0	1
Q9H1D9	1	0	1	0	1	1
Q9H1E1	1	0	0	0	1	0
Q9H1E3	0	0	0	1	1	0
Q9H1E5	0	0	0	0	1	0
Q9H1I8	0	0	1	0	0	0
Q9H2C0	0	1	0	1	1	1
Q9H2G2	0	0	0	0	0	0
Q9H2H8	1	1	1	1	0	0
Q9H2K0	0	0	1	1	0	0
Q9H2K8	0	1	0	0	1	1
Q9H2P9	0	0	0	0	1	1
Q9H2U1	0	0	0	0	0	0
Q9H2U2	0	1	0	1	0	0
Q9H2W6	0	0	0	1	0	0
Q9H3K6	0	1	1	1	0	0
Q9H3N1	1	1	1	1	0	1
Q9H3N8	0	0	0	1	1	0
Q9H3P2	1	1	1	1	1	0
Q9H3P7	0	1	0	1	0	1
Q9H4A3	1	1	1	0	1	1
Q9H4A4	1	1	1	1	0	1
Q9H4A6	1	1	1	0	1	1
Q9H4L4	0	1	0	0	1	1
Q9H4L5	0	0	0	1	0	0
Q9H4L7	1	0	1	0	1	1
Q9H4M9	0	0	0	1	0	0
Q9H4P4	0	1	0	1	1	0
Q9H4W6	0	0	0	0	0	0
Q9H5V9	0	0	1	1	0	0
Q9H6F5	0	0	0	0	0	0
Q9H6P5	0	0	1	0	0	0
Q9H6R4	0	0	0	0	0	0
Q9H6R7	0	0	0	0	0	1
Q9H6S0	0	0	1	0	0	0
Q9H6T3	1	0	1	1	0	0
Q9H6W3	0	0	0	1	0	0
Q9H6Y2	0	0	1	1	0	0
Q9H7B2	0	0	1	0	0	0
Q9H7D7	1	1	1	1	0	1
Q9H7E9	0	0	0	0	0	0
Q9H7H0	1	0	1	1	1	0
Q9H7X7	1	1	0	1	1	1
Q9H7Z3	1	1	0	0	1	1
Q9H7Z7	1	1	1	1	0	0
Q9H8H2	0	0	0	0	1	1
Q9H8Y5	0	0	0	0	1	0
Q9H8Y8	1	1	1	1	0	1
Q9H9A5	0	0	0	0	0	1
Q9H9A6	0	1	1	1	0	0
Q9H9B4	1	1	1	0	1	1
Q9H9J2	0	0	0	0	0	0
Q9H9Y6	1	1	1	0	1	1
Q9H074	0	0	0	1	1	0
Q9H078	1	0	1	1	0	0
Q9H089	0	0	1	1	0	0
Q9H270	0	0	0	0	0	0
Q9H307	0	1	1	1	0	1
Q9H444	1	1	1	0	1	1
Q9H488	0	0	0	0	1	1
Q9H496	1	1	1	1	0	1
Q9H583	0	1	0	1	1	1
Q9H814	0	0	0	0	0	0
Q9H857	1	1	1	1	0	1
Q9H869	0	0	0	0	0	0
Q9H875	1	0	1	0	0	1
Q9H900	0	0	0	0	1	1
Q9H910	1	1	1	0	1	1
Q9H936	1	0	0	1	1	0
Q9H974	1	0	1	1	0	0
Q9H993	0	0	0	0	1	0
Q9HA64	0	0	1	0	0	0
Q9HA77	1	1	0	0	1	1
Q9HAS0	0	0	0	1	0	0
Q9HAU0	0	1	0	1	1	1
Q9HAV0	0	1	1	1	0	1
Q9HAV4	1	0	1	1	1	0
Q9HAW4	1	0	1	0	0	1
Q9HB07	0	1	0	1	0	1
Q9HB40	1	1	1	0	0	1
Q9HB71	0	1	0	1	0	1
Q9HB90	0	0	0	0	0	0
Q9HBE1	0	1	0	1	0	0
Q9HBH5	0	0	0	0	0	0
Q9HC07	1	1	1	0	1	1
Q9HC35	1	1	1	0	1	1
Q9HC36	0	0	0	1	0	0
